id,name,ingredients,allergenRaw,allergensmapped,link
1, Seeded Batch Warburtons," wheat flour with calcium, iron, niacin b and thiamin b, water, seed mix  sesame seed, brown linseed, sunflower seed, millet seed, poppy seed, yeast, malted barley flour, vegetable oils rapeseed and sustainable palm, sugar, salt, wheat gluten, soya flour, emulsifiers ee, e, e, preservative calcium propionate, flour treatment agent ascorbic acid vitamin c","  gluten, sesame seeds, soybeans","wheat, sesame, soy", https://world.openfoodfacts.org/product/5010044002552/seeded-batch-warburtons 
2, NYC Bagel Sesame New York Bakery," wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, water, sesame seeds , sugar, yeast maize, salt, rapeseed oil, spirit vinegar, sweet potato puree, preservative calcium propionate, malted barley flour, flour treatment agent ascorbic acid"," gluten, sesame seeds","wheat, sesame", https://world.openfoodfacts.org/product/5020364010151/nyc-bagel-sesame-new-york-bakery 
3, Houmous Carrefour," cooked chickpeas , sunflower oil, sesame paste , olive oil composed of refined olive oils and virgin olive oils, water, lemon juice, acidifiers citric acid and lactic acid, garlic powder, salt, preservative potassium sorbate", sesame seeds,sesame, https://world.openfoodfacts.org/product/3560071010522/houmous-carrefour 
4, Sesame Bagel Warburtons," wheat flour with calcium, iron, niacin b and thiamin b, water, sesame seeds , yeast, malted wheat flour, wheat gluten, sugar, dextrose, maize, salt, rice flour, soya flour, preservative calcium propionate, gelling agent e, acidity regulator citric acid, emulsifiers ee, e, flour treatment agents ascorbic acid vitamin c, e vegetarian"," gluten, sesame seeds, soybeans","wheat, sesame, soy", https://world.openfoodfacts.org/product/5010044008875/sesame-bagel-warburtons 
5, Jben Jaouda," whole fresh milk, cream, stabilizers, starch, carrageenan, salt, lactic ferments fat ", milk,milk, https://world.openfoodfacts.org/product/6111242106949/jben-jaouda 
6, Ghilal Yaourt Zr3 Jaouda," whole milk enriched with cream, sugar, skimmed milk powder, texturizer starch, cereal preparation, fibers, flavorings, lactic ferments, and natural coloring", milk,milk, https://world.openfoodfacts.org/product/6111242102002/ghilal-yaourt-zr3-jaouda 
7, Authentic Greek Yogurt Brooklea, milk, milk,milk, https://world.openfoodfacts.org/product/4088600060941/authentic-greek-yogurt-brooklea 
8, La Vache Qui Rit," rehydrated skimmed milk origin france, cheeses, butter, milk proteins, cast salt polyphosphates, calcium, milk mineral concentrate, dairy lactic concentrate", milk,milk, https://world.openfoodfacts.org/product/3073781192186/la-vache-qui-rit 
9, Chia Quinoa Loaf Promise Gluten Free," water, tapioca starch, rice flour, thickeners hydroxypropyl methyl cellulose, carboxymethyl cellulose, methyl cellulose, xanthan gum, potato starch, psyllium husk powder, yeast, humectant glycerol, rice starch, wholegrain maize flour, quinoa, rapeseed oil, golden syrup, chia seed, poppy seed, maize starch, prune pure, salt, preservative sodium propionate, sorbic acid, spirit vinegar", nuts,tree nut, https://world.openfoodfacts.org/product/5411188110842/chia-quinoa-loaf-promise-gluten-free 
10, Foie de morue nature au sel de Guérande," cod liver naturally released oil, gurande salt "," fish, fish",fish, https://world.openfoodfacts.org/product/3263670923414/foie-de-morue-nature-au-sel-de-guerande-121g-cble-connetable 
11, Fish Sauce Blue Dragon," anchovy extract  fish, salt, sugar, water", fish,fish, https://world.openfoodfacts.org/product/5010338404383/fish-sauce-imp-blue-dragon 
12, Mackrel Fillets in Spicy Tomato Sauce Nixe,"  mackerel fillets fish, water,  tomato pure, sugar, spirit vinegar, spices chilli, star anise, nutmeg, cinnamon, paprika, coriander, fenugreek, cumin, turmeric, garlic, pepper, fennel, clove, caraway, ginger, allspice, bitter orange peel, salt", fish,fish, https://world.openfoodfacts.org/product/20183059/mackrel-fillets-in-spicy-tomato-sauce-nixe 
13, Mackerel in Tomato Sauce The Fishmonger," mackerel scomber scombrus  fish, tomato paste , water, rapeseed oil, sugar, salt", fish,fish, https://world.openfoodfacts.org/product/4088600107004/mackerel-in-tomato-sauce-the-fishmonger 
14, Insalatissime Messicana e Tonno Rio Mare," tuna  euthynus katsuwonus pelamis, red beans , corn , corn oil, carrots , peppers , salt, flavorings, may contain gluten", fish,fish, https://world.openfoodfacts.org/product/8004030026018/insalatissime-messicana-e-tonno-160-gr-rio-mare 
15, Bebida de Soja UHT Hacendado," water, peeled soybeans , salt", soybeans,soy, https://world.openfoodfacts.org/product/8480000293145/bebida-de-soja-uht-hacendado 
16, Organic Tamari Soy Sauce Yutaka," soybeans , water, salt, alcohol", soybeans,soy, https://world.openfoodfacts.org/product/5014276308505/organic-tamari-soy-sauce-yutaka 
17, Hazelnuts Stutz Packing Co, hazelnuts, nuts,tree nut, https://world.openfoodfacts.org/product/0715001111722/hazelnuts-stutz-packing-co 
18, Marty's Crackling Plain Salted Oishi," dehydrated green peas, vegetable oil may consist of coconut oil andor palm olein, tapioca starch, dehydrated potatoes, maltodextrin, iodized salt salt with potassium iodide, garlic powder, sugar, hydrolyzed soy protein, citric acid, spices, disodium inosinate, disodium guanylate, tbhq antioxidant", soybeans,soy, https://world.openfoodfacts.org/product/4800194179881/marty-s-crackling-plain-salted-oishi 
19, Almonds Grape Tree, almonds, nuts,tree nut, https://world.openfoodfacts.org/product/5060339018768/almonds-grape-tree 
20, Fish Fingers Birds Eye," nutr alaska pollock fish , breadcrumb coating, rapeseed oil breadcrumb coating wheat flour, water, potato starch, salt, paprika, yeast, turmeric"," fish, gluten","fish, wheat", https://world.openfoodfacts.org/product/5000116128921/fish-fingers-birds-eye 
